Source,Target,Weight
David Papillon,Josiah Colebrooke,44
George  Graham,William Watson,44
Joseph Planta,Samuel Horsley,44
Joshua Iremonger,Josiah Colebrooke,43
Paul Whichcote,Hugh Willoughby,43
John Cuthbert,Josiah Colebrooke,43
Patrick Russell,William Watson,43
John Hyde,Gowin Knight,43
Neville Maskeleyne,James West,43
Martin Folkes,Peter Newcome,43
George Parker Macclesfield,Charles Cavendish,43
Jonathan Richardson,Josiah Colebrooke,43
John Clephane,James Postlethwaite,43
Samuel Horsley,Joseph Ayloffe,43
John Pringle,Hugh Willoughby,43
Samuel Chandler,Thomas Birch,43
Neville Maskeleyne,Thomas Birch,43
Samuel Wegg,Daniel Wray,43
Robert Moore,Josiah Colebrooke,43
Charles Morton,Thomas Birch,43
David Papillon,William Watson,43
John Clephane,Philip Miller,43
John Cuthbert,William Russell,42
Samuel Dyer,Samuel Clark,42
John Cope,William Russell,42
Henry Cavendish,Samuel Clark,42
Matthew Duane,William Russell,42
Paul Whichcote,John Ellicot,42
Richard Kaye,James Burrow,42
Joseph Planta,John Walsh,42
Matthew Raper,James Douglas,42
James West,Thomas Birch,42
John Lewis Pettit,James Douglas,42
John Walsh,Daniel Wray,42
Peter Daval,James Postlethwaite,42
Richard Huck Saunders,Philip Miller,42
Neville Maskeleyne,John Smeaton,41
Henry Cavendish,Alex Russell,41
William Fauquier,Josiah Colebrooke,41
Samuel Dyer,Samuel Squire,41
William Fauquier,William Watson,41
Samuel Hemming,Alexander Aubert,41
Isaac Hawkins-Brown,Josiah Colebrooke,41
