Meeting date,Dish giver,Dish name,Quantity
1780-07-27,Phillip York,neck of venison,1
1780-08-17,Daniel Wray,haunch of venison,1
1780-10-26,Edward Hooper,partridges,2
1780-10-26,Edward Hooper,pheasants,2
1781-07-05,William Watson,roast fawn,1
1781-08-02,Charles Morton,haunch of venison,1
1781-10-04,Edward Hooper,pheasants,1
1781-10-11,Charles Morton,fruit,1
1781-12-20,William Musgrave,haunch of venison,1
1782-01-10,Joseph Banks,haunch of venison,1
1782-04-04,Henry Cavendish,potted charr,1
1782-08-15,Joseph Banks,haunch of venison,1
1782-08-15,Joseph Banks,venison pasty,1
1782-09-19,Edward Hooper,haunch of venison,1
1782-10-03,Edward Hooper,partridges,1
1782-10-03,Edward Hooper,pheasants,1
1783-08-14,Edward Hooper,haunch of venison,1
1783-10-02,Edward Hooper,hare,1
1784-09-23,Edward Hooper,hare,1
1784-09-23,Edward Hooper,partridges,6
1785-08-25,William Watson,haunch of roast venison,1
1785-08-25,William Musgrave,haunch of venison,1
1785-08-25,Henry Cavendish,neck of venison,1
1785-09-08,Peter Holford,brace of partridges,1
1785-09-08,Peter Holford,hare,1
1785-10-20,William Mann Godschal,pheasants,2
1785-10-20,Alexander Aubert,turtle,4
1785-10-20,William Mann Godschal,callipash,1
